nazwa,nazwa_lacinska,grupa,podgrupa,dekoracyjnosc,gleba,kolor_kwiatow,kwiaty,odczyn_gleby,owoce,pokroj,wysokosc,okres_kwitnienia,trwalosc_lisci,korona,wilgotnosc,stanowisko,zastosowanie,zapach,kwiatostan,kolor_owocow,przydatnosc_do_spozycia
proso rózgowate,panicum virgatum,byliny,trawy ozdobne,"kwiatostany, ulistnienie","każda ogrodowa, małe wymagania glebowe, przepuszczalna","bordowe, brunatne, czerwone",,obojętna,,"wzniesiony, wyprostowany","ok. 1,5 m","VII, VIII",,,gleba umiarkowanie wilgotna,"słońce, półcień","szpalery, nasadzenia naturalistyczne, duże ogrody, parki, zieleń miejska, bukiety",,kłos,,
rozwar wielkokwiatowy,platycodon grandiflorus,byliny,"byliny, na skalniaki, trujące, na słoneczne stanowisko, kwitnące latem",kwiaty,"żyzna, próchniczna","niebieskie, fioletowe","dzwonkowate, pojedyncze, duże",,torebka,"wzniesiony, krzaczkowaty",60 cm,"VII, VIII",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","tarasy, ogrody wiejskie, skalniaki, rabaty, w grupie, pojemniki, roślina lecznicza, roślina jadalna",kwiaty,,,korzenie
aksamitka rozpierzchła,tagetes patula,"jednoroczne, dwuletnie","jednoroczne, na słoneczne stanowisko, na skalniaki, pachnące kwiaty lub liście, kwitnące latem, kwitnące jesienią, ozdobne kwiaty, ogródki wiejskie","kwiatostany, kwiaty","małe wymagania glebowe, próchniczna, przepuszczalna","żółte, pomarańczowe, czerwone, wielobarwne","pachnące, języczkowate, rurkowe","lekko kwaśna, obojętna",,"krzaczkowaty, kępy",30 cm,"VI, VII, VIII, IX",sezonowe,,"gleba umiarkowanie wilgotna, gleba umiarkowanie sucha",słońce,"ogrody wiejskie, skalniaki, rabaty, obwódki rabat, w grupie, ogrody przydomowe, małe ogrody, parki, zieleń miejska, pojemniki, balkony",cała roślina,koszyczek kwiatowy,,
glorioza wspaniała,gloriosa superba,do wnętrz,"pnącza, na słoneczne stanowisko, trujące, kwitnące wiosną, ozdobne kwiaty, rośliny egzotyczne",kwiaty,"żyzna, próchniczna, przepuszczalna","żółte, pomarańczowe, czerwone","luźne, pojedyncze, duże","lekko kwaśna, obojętna",torebka,pnącze,3 m,"VI, VII",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina pnąca, roślina dekoracyjna, tarasy, wnętrza, pojemniki, kwiat cięty, roślina lecznicza",,grono,czerwone,roślina trująca
jałowiec sabiński,juniperus sabina,krzewy,"iglaste, na skalniaki, na słoneczne stanowisko, pachnące kwiaty lub liście, ozdobne liście","cała roślina, ulistnienie","żyzna, przepuszczalna, lekka, bogata w wapń",,,lekko kwaśna,owalne,"rozłożysty, zwarty, krzaczkowaty",1 m,,zimozielone,,gleba umiarkowanie wilgotna,"słońce, półcień","skalniaki, pojedynczo, ogrody przydomowe, duże ogrody",liście,,granatowe,
złocień właściwy / jastrun właściwy / margerytka,leucanthemum vulgare,byliny,"na skalniaki, na słoneczne stanowisko, kwitnące wiosną, kwitnące latem, na kwiat cięty, ozdobne kwiaty",kwiaty,"małe wymagania glebowe, żyzna, świeża, przepuszczalna, gliniasta, piaszczysto-gliniasta","białe, żółte","pojedyncze, duże",obojętna,rozłupnia,wzniesiony,1 m,"VI, VII, VIII",sezonowe,,gleba umiarkowanie sucha,słońce,"rabaty, w grupie, ogrody przydomowe, kwiat cięty, bukiety",,koszyczek kwiatowy,,
ludisia discolor,ludisia discolor,do wnętrz,"ozdobne liście, ozdobne kwiaty, kwitnące zimą","kwiaty, ulistnienie","przewiewna, próchniczna, świeża, przepuszczalna",białe,"lejkowate, pojedyncze","lekko kwaśna, obojętna",,"pokładający się, płożący",15 cm,"X, XI, XII",,,gleba umiarkowanie wilgotna,półcień,"wnętrza, w grupie",,grono,,
nachyłek barwierski,coreopsis tinctoria,"jednoroczne, dwuletnie","jednoroczne, na słoneczne stanowisko, kwitnące latem, na kwiat cięty","kwiatostany, kwiaty","próchniczna, przepuszczalna","bordowe, żółte, czerwone, wielobarwne","języczkowate, rurkowe",obojętna,,"luźny, wzniesiony",40-120 cm,"VI, VII, VIII, IX",,,gleba umiarkowanie wilgotna,słońce,"ogrody wiejskie, rabaty, obwódki rabat, w grupie, ogrody przydomowe, pojemniki, kwiat cięty",,koszyczek kwiatowy,,
areka,chrysalidocarpus,do wnętrz,"do wnętrz, na słoneczne stanowisko, ozdobne liście",ulistnienie,"torfowa, żyzna, przepuszczalna, lekka","białe, kremowe",drobne,lekko kwaśna,,"wzniesiony, wyprostowany",ok. 2 m.,,,,"gleba wilgotna, gleba umiarkowanie wilgotna",słońce,"wnętrza, pojemniki",,wiechowaty,,
mirt zwyczajny,myrtus communis,do wnętrz,"do wnętrz, na słoneczne stanowisko, pachnące kwiaty lub liście, kwitnące latem, na balkon i taras","kwiaty, ulistnienie","żyzna, przepuszczalna",białe,pojedyncze,lekko kwaśna,"kuliste, owalne, jadalne",zwarty,,"V, VI, VII, VIII, IX",,,gleba umiarkowanie wilgotna,słońce,"tarasy, wnętrza, miejsca eksponowane, pojemniki, balkony",liście,,,liście
piwonia chińska,paeonia lactiflora,byliny,"byliny, na słoneczne stanowisko, na kwiat cięty, ozdobne kwiaty",kwiaty,"żyzna, próchniczna","białe, kremowe, czerwone, purpurowe, różowe","pachnące, pojedyncze, półpełne, pełne, duże",lekko kwaśna,mieszek,wzniesiony,80 cm (1 m),"V, VI",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina dekoracyjna, rabaty, pojedynczo, w grupie, małe ogrody, duże ogrody, kwiat cięty",kwiaty,,,
sadziec,eupatorium,byliny,"byliny, na słoneczne stanowisko, kwitnące latem, kwitnące jesienią, na kwiat cięty, ozdobne kwiaty",kwiatostany,"żyzna, przepuszczalna, lekka, piaszczysta, bogata w wapń","białe, purpurowe, różowe",,"zasadowa, obojętna, lekko zasadowa",niełupka,wzniesiony,do 2 m,"VIII, IX",sezonowe,,"gleba stale wilgotna, gleba umiarkowanie wilgotna","słońce, półcień","ogrody wiejskie, rabaty, nasadzenia naturalistyczne, ogrody przydomowe, kwiat cięty",kwiaty,"wiechowaty, koszyczek kwiatowy",,
goździk pierzasty / goździk postrzępiony,dianthus plumarius,byliny,"płożące lub okrywowe, na skalniaki, pachnące kwiaty lub liście, na słoneczne stanowisko, ozdobne liście, kwitnące latem, ozdobne kwiaty","kwiaty, ulistnienie","piaszczysto-gliniasta, bogata w wapń","białe, różowe",pojedyncze,,torebka,wzniesiony,"do 0,3 m","V, VI",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","skalniaki, rabaty",kwiaty,,,
floks wiechowaty / płomyk wiechowaty,phlox paniculata,byliny,"byliny, pachnące kwiaty lub liście, na słoneczne stanowisko, kwitnące latem, na kwiat cięty, ozdobne kwiaty",kwiaty,"małe wymagania glebowe, próchniczna, przepuszczalna, piaszczysta","białe, czerwone, różowe, niebieskie","półpełne, pełne, pachnące, pojedyncze","lekko kwaśna, obojętna",torebka,wzniesiony,80-150 cm,"VII, VIII, IX, X",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina dekoracyjna, rabaty, w grupie, ogrody przydomowe, kwiat cięty",kwiaty,wiechowaty,,
jeżówka purpurowa,echinacea purpurea,byliny,"na słoneczne stanowisko, kwitnące latem, kwitnące jesienią, na kwiat cięty, ozdobne kwiaty",kwiaty,"gliniasta, piaszczysto-gliniasta","pomarańczowe, łososiowe, czerwone, purpurowe, różowe, fioletowe, liliowe, wielobarwne, białe, kremowe, żółte",,,,,od 80 do 100 cm,"VII, VIII, IX, X",sezonowe,,gleba wilgotna,słońce,"ogrody wiejskie, rabaty, ogrody przydomowe, małe ogrody, duże ogrody, kwiat cięty, bukiety",,koszyczek kwiatowy,,
przetacznik kłosowy,veronica spicata,byliny,"byliny, płożące lub okrywowe, na skalniaki, na słoneczne stanowisko, kwitnące latem, na kwiat cięty, ozdobne kwiaty",kwiaty,"próchniczna, przepuszczalna","białe, purpurowe, różowe, niebieskie, fioletowe, liliowe",pojedyncze,lekko kwaśna,torebka,"wzniesiony, wyprostowany",10-50 cm,"V, VI, VII, VIII",sezonowe,,gleba umiarkowanie sucha,"słońce, półcień","ogrody wiejskie, skalniaki, rabaty, skarpy, roślina okrywowa, pojemniki, bukiety",,grono,,
kocanka piaskowa,helichrysum arenarium,byliny,"byliny, na skalniaki, na słoneczne stanowisko, na suszone bukiety","kwiatostany, pędy","piaszczysta, przewiewna, małe wymagania glebowe, przepuszczalna",żółte,"języczkowate, rurkowe, kuliste","obojętna, lekko zasadowa",,wyprostowany,30 cm,"VII, VIII, IX, X",sezonowe,,gleba sucha,słońce,"skalniaki, rabaty, nasadzenia naturalistyczne, w grupie, ogrody przydomowe, bukiety, roślina lecznicza",,"baldach, wiechowaty",,
bluszcz pospolity,hederia helix,pnącza,"znoszące zacienienie, trujące, ozdobne liście, zimozielone",ulistnienie,"żyzna, świeża, bogata w wapń",zielonkawe,,zasadowa,"kuliste, trujące","płożący, pnącze","0,2-25 m","IX, X",zimozielone,,gleba wilgotna,"półcień, cień","roślina pnąca, murki, skarpy, roślina okrywowa, pod koronami drzew, duże ogrody, parki, cmentarze",,,czarne,
bluszczyk kurdybanek,glechoma hederacea,byliny,"byliny, znoszące zacienienie, płożące lub okrywowe, ozdobne liście, kwitnące wiosną, na wilgotne stanowisko, zioła, lecznicze",,żyzna,"niebieskie, fioletowe",drobne,,,płożący,10 - 25 cm,"III, IV",zimozielone,,gleba umiarkowanie wilgotna,"półcień, cień","tarasy, obwódki rabat, roślina okrywowa, pod koronami drzew, nasadzenia naturalistyczne, w grupie, małe ogrody, pojemniki, balkony, roślina lecznicza",cała roślina,pojedynczy,,
ubiorek wiecznie zielony,iberis sempervirens,byliny,"płożące lub okrywowe, na skalniaki, kwitnące wiosną, ozdobne kwiaty","kwiatostany, kwiaty, ulistnienie","każda ogrodowa, próchniczna, przepuszczalna, lekka, piaszczysto-gliniasta","białe, różowe","pojedyncze, drobne","obojętna, lekko zasadowa",,"pokładający się, zwarty, kobierce",20-30 cm,"IV, V",zimozielone,,gleba umiarkowanie wilgotna,słońce,"tarasy, ogrody wiejskie, skalniaki, rabaty, obwódki rabat, murki, roślina okrywowa, ogrody przydomowe, pojemniki",,grono,,
floks szydlasty / płomyk szydlasty,phlox subulata,byliny,"płożące lub okrywowe, na skalniaki, na słoneczne stanowisko, kwitnące wiosną, ozdobne kwiaty",kwiaty,"przepuszczalna, piaszczysta","białe, różowe, fioletowe",drobne,,,kobierce,do 10 cm,"IV, V",zimozielone,,gleba umiarkowanie sucha,"słońce, półcień","skalniaki, obwódki rabat, skarpy, roślina okrywowa",,,,
bugenwilla,bougainvillea,pnącza,"pojemnikowe, zimozielone (liściaste), na słoneczne stanowisko, kwitnące latem, na balkon i taras, rośliny egzotyczne","cała roślina, ulistnienie",żyzna,"białe, różowe",niepozorne,,,"wzniesiony, krzaczkowaty, pnącze",,"VI, VII, VIII, IX",zimozielone,,gleba wilgotna,słońce,"miejsca eksponowane, pojemniki, balkony",,,,
konwalia majowa,convallaria majalis,byliny,"byliny, znoszące zacienienie, trujące, pachnące kwiaty lub liście, ozdobne liście, kwitnące wiosną, na kwiat cięty, ozdobne kwiaty","kwiaty, ulistnienie","małe wymagania glebowe, przepuszczalna",białe,"pachnące, kuliste, dzwonkowate","kwaśna, lekko kwaśna",jagody,"luźny, wzniesiony",do 20 cm,"V, VI",sezonowe,,gleba umiarkowanie wilgotna,"półcień, cień","rabaty, pod koronami drzew, nasadzenia naturalistyczne, w grupie, ogrody przydomowe, cmentarze, pojemniki, kwiat cięty, bukiety, roślina lecznicza",kwiaty,grono,czerwone,
borówka wysoka,vaccinium corymbosum,"owocowe, warzywne","krzewy, liściaste, na słoneczne stanowisko, owocowe, warzywne, krzewy owocowe",owoce,"małe wymagania glebowe, próchniczna, przepuszczalna, lekka",białe,drobne,kwaśna,jagoda fałszywa,"wzniesiony, rozłożysty",2-3 m,"V, VI",sezonowe,,gleba umiarkowanie wilgotna,słońce,"pojedynczo, w grupie, duże ogrody, roślina jadalna",,grono,ciemnoniebieske,owoce
kokoryczka wielkokwiatowa,polygonatum multiflorum,byliny,"byliny, znoszące zacienienie, płożące lub okrywowe, trujące, ozdobne liście, na wilgotne stanowisko",ulistnienie,"każda ogrodowa, żyzna, próchniczna, przepuszczalna",białe,"dzwonkowate, niepozorne, drobne","lekko kwaśna, obojętna",jagody,kępy,1 m,"V, VI",sezonowe,,"gleba wilgotna, gleba umiarkowanie wilgotna",cień,"skalniaki, rabaty, obwódki rabat, brzegi zbiorników wodnych, roślina okrywowa, pod koronami drzew, nasadzenia naturalistyczne, w grupie",,,czarne,
begonia bulwiasta,begonia × tuberhybrida,cebulowe,"cebulowe, znoszące zacienienie, kwitnące wiosną, kwitnące latem, kwitnące jesienią, ozdobne kwiaty","kwiaty, ulistnienie","torfowa, przewiewna, żyzna",wielobarwne,"pojedyncze, pełne",lekko kwaśna,,"luźny, krzaczkowaty",30 cm,"V, VI, VII, VIII, IX, X",sezonowe,,gleba umiarkowanie wilgotna,półcień,"roślina dekoracyjna, tarasy, wnętrza, rabaty, w grupie, ogrody przydomowe, pojemniki, balkony",,,,
gajowiec żółty,galeobdolon luteum,byliny,"znoszące zacienienie, płożące lub okrywowe, ozdobne liście","kwiaty, ulistnienie","żyzna, próchniczna, świeża",żółte,"wargowe, pojedyncze, drobne","lekko kwaśna, obojętna",rozłupnia,"wzniesiony, płożący",30-60 cm,"IV, V, VI",sezonowe,,gleba umiarkowanie wilgotna,"półcień, cień","skarpy, roślina okrywowa, pod koronami drzew, nasadzenia naturalistyczne, w grupie, parki, roślina lecznicza",,,,
orlik błękitny,aquilegia caerulea,byliny,"znoszące zacienienie, trujące, kwitnące wiosną, kwitnące latem, ozdobne kwiaty",kwiaty,"próchniczna, piaszczysta","białe, czerwone, różowe, niebieskie, fioletowe",,,mieszek,wzniesiony,30-60 cm,"V, VI, VII, VIII",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","skalniaki, rabaty, obwódki rabat, pod koronami drzew, ogrody przydomowe, kwiat cięty",,,,
orlik pełny,aquilegia,byliny,"byliny, znoszące zacienienie, trujące, kwitnące wiosną, ozdobne kwiaty",kwiaty,"próchniczna, przepuszczalna, piaszczysta",wielobarwne,pełne,"zasadowa, obojętna, lekko zasadowa",mieszek,wzniesiony,60-80 cm,"V, VI, VII",sezonowe,,gleba umiarkowanie wilgotna,półcień,"rabaty, obwódki rabat, brzegi zbiorników wodnych, sadzona przy ogrodzeniach, w grupie, ogrody przydomowe",,,,
orlik pospolity,aquilegia vulgaris,byliny,"znoszące zacienienie, trujące, na słoneczne stanowisko, kwitnące wiosną, kwitnące latem, ozdobne kwiaty",kwiaty,"próchniczna, przepuszczalna, piaszczysta, bogata w wapń",fioletowe,"dzwonkowate, pojedyncze","obojętna, lekko zasadowa",mieszek,"wzniesiony, kępy",60-100 cm,"V, VI, VII",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","rabaty, obwódki rabat, pod koronami drzew, nasadzenia naturalistyczne, kwiat cięty, roślina lecznicza",,,,
orlik wachlarzowaty,aquilegia flabellata,byliny,"na skalniaki, na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty",kwiaty,"żyzna, próchniczna, przepuszczalna, piaszczysta","różowe, niebieskie, fioletowe","dzwonkowate, pojedyncze, duże","lekko kwaśna, obojętna",mieszek,"wzniesiony, kępy",25 cm,"V, VI, VII",sezonowe,,gleba umiarkowanie wilgotna,słońce,"ogrody wiejskie, skalniaki, rabaty, obwódki rabat, nasadzenia naturalistyczne, pojemniki",,,,
słonecznik zwyczajny,helianthus annus,"owocowe, warzywne",warzywa,kwiaty,żyzna,żółte,,,,wzniesiony,"do 2,5 m","VII, VIII, IX, X",sezonowe,,,słońce,"sadzona przy ogrodzeniach, pojedynczo, w grupie, ogrody przydomowe, roślina jadalna",,,,owoce
papryka,capsicum,"owocowe, warzywne",warzywa,,"żyzna, próchniczna, przepuszczalna","białe, kremowe, żółte, fioletowe","dzwonkowate, pojedyncze",lekko kwaśna,"jagody, jadalne",wzniesiony,25-125 cm,,sezonowe,,"gleba wilgotna, gleba umiarkowanie wilgotna",słońce,"pojemniki, balkony, roślina lecznicza, roślina jadalna",,,"zielone, żółte, pomarańczowe, czerwone",owoce
rabarbar ogrodowy,rheum rhaponticum,"owocowe, warzywne",warzywa,,"próchniczna, żyzna","żółte, zielonkawe",,,niełupka,"wzniesiony, kępy",do 150cm (bez pędu kwiatostanowego),,,,gleba wilgotna,"słońce, półcień",roślina jadalna,,wiechowaty,,liście
sałata siewna,lactuca sativa,"owocowe, warzywne",warzywa,,"żyzna, próchniczna",żółte,"rurkowe, drobne","lekko kwaśna, obojętna",niełupka,"wzniesiony, zwarty",80-150 cm (z pędem kwiatostanowym),,,,"gleba wilgotna, gleba umiarkowanie wilgotna",słońce,"pojemniki, roślina jadalna",,koszyczek kwiatowy,,liście
krzewuszka cudowna,weigela florida,krzewy,"krzewy, liściaste, żywopłotowe, pojemnikowe, znoszące zacienienie, ozdobne liście","cała roślina, kwiaty, ulistnienie","każda ogrodowa, żyzna, próchniczna, przepuszczalna","bordowe, białe, czerwone, różowe",dzwonkowate,,torebka,"luźny, wyprostowany",od 1 do 3 m,"V, VI, VII",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","żywopłoty, pojedynczo, duże ogrody, parki, zieleń miejska",,,,
szczaw zwyczajny,rumex acetosa,inne,"warzywa, lecznicze",kwiatostany,"każda ogrodowa, żyzna, gliniasta",zielonkawe,"niepozorne, drobne","kwaśna, lekko kwaśna, obojętna",orzechy,"wzniesiony, kępy",30-100 cm,"VII, VIII",sezonowe,,gleba wilgotna,"słońce, półcień","nasadzenia naturalistyczne, roślina lecznicza, roślina jadalna",,wiechowaty,,liście
śliwa mirabelka,prunus domestica subsp. syriaca,"owocowe, warzywne",krzewy owocowe,,"gliniasta, bogata w wapń",białe,,,,rozłożysty,do 3-6m,V,sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","ogrody przydomowe, roślina jadalna",,,"żółte, czerwone",owoce
lawenda wąskolistna,lavandula angustifolia,byliny,"byliny, na skalniaki, na słoneczne stanowisko, kwitnące latem, na kwiat cięty, na suszone bukiety, ozdobne kwiaty, zioła",kwiaty,"przepuszczalna, bogata w wapń","różowe, niebieskie, fioletowe, liliowe",drobne,lekko zasadowa,,krzaczkowaty,"0,5 m","VII, VIII",zimozielone,,gleba umiarkowanie sucha,słońce,"skalniaki, rabaty, obwódki rabat, żywopłoty, murki, miejsca eksponowane, w grupie, ogrody przydomowe, małe ogrody, pojemniki, balkony, kwiat cięty, bukiety, roślina lecznicza, roślina jadalna","kwiaty, liście",,,"liście, kwiaty"
filodendron,philodendron,do wnętrz,"do wnętrz, trujące, ozdobne liście",ulistnienie,"torfowa, żyzna, przepuszczalna",,niepozorne,obojętna,jagody,pnącze,ok 2 m,,,,gleba umiarkowanie wilgotna,półcień,"roślina pnąca, wnętrza",,,,
agrest,ribes uva-crispa,"owocowe, warzywne",krzewy owocowe,,"żyzna, próchniczna","białe, różowe, zielonkawe","niepozorne, drobne",lekko kwaśna,"jagody, jadalne","pokładający się, wzniesiony","do 1,5 m","IV, V",sezonowe,,gleba umiarkowanie wilgotna,słońce,"ogrody przydomowe, roślina lecznicza, roślina jadalna","owoce, kwiaty, liście",grono,zielone,owoce
monstera dziurawa,monstera deliciosa,do wnętrz,"znoszące zacienienie, ozdobne liście, rośliny egzotyczne",ulistnienie,"torfowa, świeża, przepuszczalna",zielonkawe,,"lekko kwaśna, obojętna",jagody,"luźny, rozłożysty, płożący, pnącze",w donicy – 2-3 m,,,,gleba umiarkowanie wilgotna,"półcień, cień","roślina pnąca, roślina dekoracyjna, wnętrza, miejsca eksponowane, pojedynczo",,,,roślina trująca
figowiec benjamina / fikus benjamina,ficus benjamina,do wnętrz,"do wnętrz, na słoneczne stanowisko, ozdobne liście",ulistnienie,"żyzna, próchniczna, przepuszczalna",,,lekko kwaśna,,"luźny, pokładający się",do 2 m,,zimozielone,zwisająca,gleba umiarkowanie wilgotna,słońce,"wnętrza, pojemniki",,,,
lewizja liścieniowa,lewisia cotyledon,byliny,"byliny, na skalniaki, kwitnące wiosną, kwitnące latem, ozdobne kwiaty","kwiatostany, kwiaty","próchniczna, przepuszczalna","białe, żółte, pomarańczowe, czerwone, różowe","luźne, lejkowate",lekko kwaśna,,,20 cm,"V, VI",półzimozielone,,,słońce,"ogrody wiejskie, skalniaki, obwódki rabat, murki, nasadzenia naturalistyczne, w grupie, pojemniki",,"baldach, wiechowaty",,
pelargonia pachnąca / geranium pachnące / anginka,pelargonium graveolens,na balkon i taras,"na balkon i taras, na słoneczne stanowisko, ozdobne liście, kwitnące latem, ozdobne kwiaty",ulistnienie,małe wymagania glebowe,"białe, purpurowe, różowe, fioletowe","pojedyncze, półpełne",obojętna,,wzniesiony,do 1 m,,,,gleba umiarkowanie wilgotna,słońce,"roślina dekoracyjna, wnętrza, balkony, roślina lecznicza","cała roślina, liście",baldach,,
pelargonia bluszczolistna,pelargonium × hederifolium,na balkon i taras,"na słoneczne stanowisko, pachnące kwiaty lub liście, ozdobne liście, kwitnące wiosną, kwitnące latem, kwitnące jesienią, ozdobne kwiaty","kwiaty, ulistnienie",żyzna,"białe, łososiowe, czerwone, purpurowe, różowe, fioletowe, liliowe, wielobarwne",,,,płożący,,"V, VI, VII, VIII, IX, X",sezonowe,,gleba wilgotna,słońce,"pojemniki, balkony","kwiaty, liście",baldach,,
pelargonia rabatowa,pelargonium ×  hortorum,byliny,"na słoneczne stanowisko, kwitnące wiosną, kwitnące latem",kwiaty,"żyzna, przepuszczalna","białe, czerwone, różowe, fioletowe, wielobarwne",pojedyncze,obojętna,rozłupnia,"luźny, wzniesiony, krzaczkowaty",30-50 cm,"IV, V, VI, VII, VIII, IX, X",zimozielone,,gleba umiarkowanie wilgotna,słońce,"tarasy, rabaty, balkony",liście,baldach,,
hortensja krzewiasta,hydrangea arborescens,krzewy,"liściaste, trujące, ozdobne kwiaty",kwiatostany,"żyzna, próchniczna, przepuszczalna, lekka","białe, czerwone, różowe, niebieskie, fioletowe",,lekko kwaśna,,"kulisty, wzniesiony, krzaczkowaty","1,5 m","VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","rabaty, miejsca eksponowane, pojedynczo, duże ogrody, kwiat cięty",,baldachogrono,,
różanecznik / rododendron,rhododendron,krzewy,"liściaste, znoszące zacienienie, trujące, zimozielone (liściaste), pachnące kwiaty lub liście, ozdobne kwiaty","kwiatostany, kwiaty",przepuszczalna,"bordowe, białe, kremowe, żółte, pomarańczowe, łososiowe, czerwone, purpurowe, różowe, fioletowe, liliowe, wielobarwne",,kwaśna,torebka,"wzniesiony, rozłożysty, zwarty","0,5 - 2,5 m","V, VI","zimozielone, półzimozielone, sezonowe",,"gleba wilgotna, gleba umiarkowanie wilgotna",półcień,"pojedynczo, w grupie, małe ogrody, duże ogrody",,,,
funkia / hosta,hosta,byliny,"znoszące zacienienie, na skalniaki, ozdobne liście","kwiaty, ulistnienie","żyzna, próchniczna","białe, fioletowe",dzwonkowate,lekko kwaśna,,,"0,3-1 m","VII, VIII, IX, X",sezonowe,,gleba wilgotna,"półcień, cień","rabaty, brzegi zbiorników wodnych, pod koronami drzew, w grupie",,,,
funkia fortune'a / hosta fortunea,hosta fortunei,byliny,"znoszące zacienienie, płożące lub okrywowe, ozdobne liście, kwitnące jesienią","kwiaty, ulistnienie","żyzna, próchniczna","fioletowe, liliowe",dzwonkowate,"lekko kwaśna, obojętna",,rozłożysty,"0,4-0,7 m","VII, VIII",sezonowe,,gleba wilgotna,półcień,"rabaty, brzegi zbiorników wodnych, pod koronami drzew, w grupie",,grono,,
funkia japońska / hosta japońska,hosta japonica,byliny,"znoszące zacienienie, na skalniaki, ozdobne liście, kwitnące latem, na wilgotne stanowisko",,"żyzna, przepuszczalna","fioletowe, liliowe",,lekko kwaśna,,krzaczkowaty,do 60 cm,"VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,półcień,"obwódki rabat, brzegi zbiorników wodnych, pod koronami drzew, miejsca eksponowane, w grupie, ogrody przydomowe, pojemniki, roślina dekoracyjna, skalniaki",,kłos,,
funkia siebolda / hosta siebolda,hosta sieboldii,byliny,"znoszące zacienienie, na słoneczne stanowisko, ozdobne liście, kwitnące latem","kwiatostany, ulistnienie","małe wymagania glebowe, żyzna, przepuszczalna",liliowe,"dzwonkowate, pojedyncze",lekko kwaśna,,kępy,50-80 cm,"VI, VII",sezonowe,,gleba wilgotna,półcień,"roślina dekoracyjna, rabaty, brzegi zbiorników wodnych, pod koronami drzew, nasadzenia naturalistyczne, w grupie, parki, kwiat cięty",,grono,,
dipladenia / mandewilla,mandewila sanderii,na balkon i taras,"pnącza, na słoneczne stanowisko, trujące, ozdobne liście, kwitnące wiosną, kwitnące latem, ozdobne kwiaty","cała roślina, kwiaty, ulistnienie","żyzna, przepuszczalna","białe, czerwone, różowe","dzwonkowate, duże",obojętna,,pnącze,,"IV, V, VI, VII, VIII, IX, X",,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina pnąca, sadzona przy podporach, ogrody przydomowe, pojemniki, balkony",kwiaty,,,roślina trująca
petunia ogrodowa,petunia ×hybrida,na balkon i taras,"na słoneczne stanowisko, pachnące kwiaty lub liście, kwitnące wiosną, kwitnące latem, kwitnące jesienią, ozdobne kwiaty","cała roślina, kwiaty","żyzna, próchniczna, przepuszczalna","białe, czerwone, purpurowe, różowe, niebieskie, fioletowe, liliowe, wielobarwne","lejkowate, pojedyncze, pełne, duże",lekko kwaśna,,,35 - 50 cm,"V, VI, VII, VIII, IX, X",,,,słońce,"sadzona przy podporach, roślina okrywowa, miejsca eksponowane, pojemniki, balkony",,,,
sałata rzymska,lactuca sativa var. romana,"owocowe, warzywne",warzywa,,"żyzna, próchniczna",żółte,"pojedyncze, drobne","lekko kwaśna, obojętna",niełupka,"wzniesiony, wąski, zwarty",100-150 cm (z pędem kwiatostanowym)),VIII,sezonowe,,"gleba wilgotna, gleba umiarkowanie wilgotna",słońce,roślina jadalna,,koszyczek kwiatowy,,liście
oleander pospolity,nerium oleander,na balkon i taras,"kwitnące latem, ozdobne kwiaty, na słoneczne stanowisko, trujące, pachnące kwiaty lub liście, ozdobne liście","kwiatostany, kwiaty, ulistnienie",każda ogrodowa,"białe, kremowe, żółte, łososiowe, czerwone, purpurowe, różowe, fioletowe, liliowe","pojedyncze, pełne","kwaśna, lekko kwaśna",torebka,krzaczkowaty,ok. 150 cm,"V, VI, VII, VIII, IX","zimozielone, półzimozielone",,gleba wilgotna,słońce,"tarasy, wnętrza, pojemniki, balkony",kwiaty,,,"trujące liście, trujące kwiaty"
floks śnieżny / płomyk śnieżny,phlox covillei,byliny,"płożące lub okrywowe, na skalniaki, na słoneczne stanowisko, kwitnące wiosną, ozdobne kwiaty","kwiaty, ulistnienie","próchniczna, przepuszczalna",białe,drobne,,,kępy,2-3 cm,IV,zimozielone,,gleba umiarkowanie sucha,"słońce, półcień","skalniaki, skarpy, roślina okrywowa",,,,
farbownik lazurowy,anchusa azurea,byliny,"na skalniaki, na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty",kwiaty,"przepuszczalna, bogata w wapń",niebieskie,drobne,,,wzniesiony,150 cm,"VI, VII, VIII",sezonowe,,,słońce,"skalniaki, rabaty",,wiechowaty,,
